Store ID,Employee Number,Area,Date,Sales,Marketing Spend,Electronics Sales,Home Sales,Clothes Sales
1,54,Asia,2018-01-31,86586.23,16022.68,23312.79,10991.36,28089.66
1,57,Asia,2018-02-28,131181.61,6562.93,38738.19,17000.27,52073.81
1,50,Asia,2018-03-31,185833.69,1106.61,53601.54,26926.41,58401.37
1,56,Asia,2018-04-30,150538.66,16586.79,42062.01,25817.93,50028.65
1,50,Asia,2018-05-31,183421.04,2708.69,42276.04,26700.62,63996.07
1,56,Asia,2018-06-30,292656.36,10459.98,69192.41,45898.82,95964.42
1,52,Asia,2018-07-31,214964.98,26320.18,48065.41,24049.25,94098.8
1,56,Asia,2018-08-31,189526.91,26479.09,47851.76,27550.8,74569.68
1,55,Asia,2018-09-30,222308.26,4848.86,64556.77,38468.88,71728.8
1,58,Asia,2018-10-31,213762.78,13452.72,43525.38,21181.46,78333.69
1,60,Asia,2018-11-30,275043.91,16276.21,71283.31,34054.61,96219.95
1,50,Asia,2018-12-31,427140.33,15079.11,84846.92,75713.44,131085.4
1,52,Asia,2019-01-31,129972.86,27445.93,36089.77,25751.65,47449.49
1,50,Asia,2019-02-28,153328.85,5727.33,38623.99,18634.73,55300.19
1,51,Asia,2019-03-31,233607.31,29701.62,56331.02,28059.85,80860.23
1,51,Asia,2019-04-30,155014.43,12593.43,44457.24,31427.36,56063.4
1,56,Asia,2019-05-31,221799.55,26700.16,46519.74,33815.56,71003.54
1,50,Asia,2019-06-30,324111.57,25812.14,61107.56,59335.38,114788.54
1,53,Asia,2019-07-31,211142.68,2560.42,47174.29,39253.73,69108.02
1,59,Asia,2019-08-31,194504.39,13005.62,43143.42,20725.2,75671.76
1,55,Asia,2019-09-30,251584.32,7507.29,74507.98,43755.25,83415.03
1,52,Asia,2019-10-31,227442.41,7431.93,57029.71,20952.38,75911.2
1,54,Asia,2019-11-30,322054.96,2935.02,78042.38,38659.0,113576.87
1,59,Asia,2019-12-31,396164.54,18775.8,101378.09,66398.8,158912.89
1,51,Asia,2020-01-31,126547.37,24028.48,34653.62,14640.59,51320.61
1,51,Asia,2020-02-29,159984.62,8218.83,33636.21,25296.16,55318.64
1,59,Asia,2020-03-31,220040.93,14881.12,62129.05,38018.97,81600.88
1,50,Asia,2020-04-30,202170.18,24205.04,56115.39,24472.46,66518.64
